VEHICLE	DRONE						
NUMBER	NUMBER						
12	5						
							
CUSTOMER							
CUST NO.	XCOORD.	YCOORD.	DEMAND	READY TIME	DUE DATE	SERVICE   TIME	COST
							
0	35	35	0	0	1000	0	0
1	41	49	25	658	898	5	0.57
2	35	17	35	93	333	5	0.36
3	55	45	10	436	676	5	0.38
4	55	20	38	620	860	5	0.57
5	15	30	35	20	260	5	0.38
6	25	30	11	345	585	5	0.38
7	20	50	14	251	491	5	0.57
8	10	43	24	323	563	5	0.57
9	55	60	27	329	569	5	0.36
10	30	60	34	485	725	5	0.38
11	20	65	13	146	386	5	0.38
12	50	35	31	167	407	5	0.57
13	30	25	13	639	879	5	0.38
14	15	10	13	32	272	5	0.57
15	30	5	11	118	358	5	0.57
16	10	20	34	203	443	5	0.36
17	5	30	12	682	922	5	0.38
18	20	40	34	286	526	5	0.57
19	15	60	39	204	444	5	0.38
20	45	65	26	504	744	5	0.57
21	45	20	12	153	393	5	0.36
22	45	10	22	332	572	5	0.57
23	55	5	35	146	386	5	0.38
24	65	35	16	656	896	5	0.57
25	65	20	20	716	956	5	0.36
26	45	30	38	508	748	5	0.38
27	35	40	24	60	300	5	0.57
28	41	37	39	65	305	5	0.38
29	64	42	30	132	372	5	0.38
30	40	60	10	187	427	5	0.57
31	31	52	20	94	334	5	0.57
32	35	69	24	599	839	5	0.36
33	53	52	17	24	264	5	0.38
34	65	55	10	452	692	5	0.38
35	63	65	12	630	870	5	0.38
36	2	60	14	41	281	5	0.57
37	20	20	29	530	770	5	0.36
38	5	5	23	234	474	5	0.38
39	60	12	34	33	273	5	0.57
40	40	25	28	279	519	5	0.38
41	42	7	28	334	574	5	0.38
42	24	12	25	25	265	5	0.57
43	23	3	32	543	783	5	0.57
44	11	14	26	167	407	5	0.36
45	6	38	25	29	269	5	0.38
46	2	48	27	452	692	5	0.38
47	8	56	19	48	288	5	0.36
48	13	52	35	720	960	5	0.57
49	6	68	25	401	641	5	0.38
50	47	47	17	475	715	5	0.57
51	49	58	10	281	521	10	2
52	27	43	9	117	357	10	2
53	37	31	14	332	572	10	2
54	57	29	18	568	808	10	2
55	63	23	2	560	800	10	2
56	53	12	6	519	759	10	2
57	32	12	7	356	596	10	2
58	36	26	18	740	980	10	2
59	21	24	28	17	257	10	2
60	17	34	3	672	912	10	2
61	12	24	13	214	454	10	2
62	24	58	19	113	353	10	2
63	27	69	10	34	274	10	2
64	15	77	9	154	394	10	2
65	62	77	20	49	289	10	2
66	49	73	25	523	763	10	2
67	67	5	25	228	468	10	2
68	56	39	36	575	815	10	2
69	37	47	6	108	348	10	2
70	37	56	5	728	968	10	2
71	57	68	15	198	438	10	2
72	47	16	25	22	262	10	2
73	44	17	9	234	474	10	2
74	46	13	99	622	862	10	2
75	49	11	87	171	411	10	2
76	49	42	96	212	452	10	2
77	53	43	52	730	970	10	2
78	61	52	65	322	562	10	2
79	57	48	93	307	547	10	2
80	56	37	74	728	968	10	2
81	55	54	84	314	554	10	2
82	15	47	72	106	346	10	2
83	14	37	75	53	293	10	2
84	11	31	87	354	594	10	2
85	16	22	57	299	539	10	2
86	4	18	72	307	547	10	2
87	28	18	55	314	554	10	2
88	26	52	65	214	454	10	2
89	26	35	73	718	958	10	2
90	31	67	87	320	560	10	2
91	15	19	84	683	923	10	2
92	22	22	65	18	258	10	2
93	18	24	81	729	969	10	2
94	26	27	92	350	590	10	2
95	25	24	56	42	282	10	2
96	22	27	98	529	769	10	2
97	25	21	89	523	763	10	2
98	19	21	75	125	365	10	2
99	20	26	87	263	503	10	2
100	18	18	95	725	965	10	2
							
							
