VEHICLE	DRONE						
NUMBER	NUMBER						
9	6						
							
CUSTOMER							
CUST NO.	XCOORD.	YCOORD.	DEMAND	READY TIME	DUE DATE	SERVICE   TIME	COST
							
0	40	50	0	0	240	0	0
1	25	85	27	0	191	5	0.36
2	22	75	25	0	199	5	0.38
3	22	85	24	0	190	5	0.57
4	20	80	39	141	171	5	0.36
5	20	85	27	0	189	5	0.38
6	18	75	30	0	196	5	0.57
7	15	75	20	0	194	5	0.38
8	15	80	19	91	121	5	0.57
9	10	35	25	91	121	5	0.38
10	10	40	30	0	198	5	0.57
11	8	40	27	59	89	5	0.57
12	8	45	33	0	197	5	0.36
13	5	35	40	142	172	5	0.38
14	5	45	33	0	194	5	0.57
15	2	40	13	58	88	5	0.38
16	0	40	16	0	188	5	0.57
17	0	45	14	0	189	5	0.36
18	44	5	13	0	184	5	0.57
19	42	10	23	0	189	5	0.36
20	42	15	35	0	194	5	0.57
21	40	5	13	0	185	5	0.38
22	40	15	31	0	195	5	0.57
23	38	5	24	65	95	5	0.38
24	38	15	30	0	194	5	0.57
25	35	5	32	154	184	5	0.36
26	95	30	17	0	171	5	0.38
27	95	35	38	0	172	5	0.57
28	92	30	37	0	174	5	0.57
29	90	35	33	0	177	5	0.36
30	88	30	36	0	178	5	0.38
31	88	35	24	0	179	5	0.57
32	87	30	13	0	178	5	0.38
33	85	25	21	0	178	5	0.57
34	85	35	16	0	182	5	0.36
35	67	85	36	0	185	5	0.38
36	65	85	33	0	186	5	0.57
37	65	82	25	0	189	5	0.57
38	62	80	28	75	105	5	0.36
39	60	80	38	0	193	5	0.38
40	60	85	22	0	189	5	0.57
41	58	75	19	0	199	5	0.38
42	55	80	20	0	196	5	0.57
43	55	85	29	0	191	5	0.36
44	55	82	39	64	94	5	0.57
45	20	82	37	0	192	5	0.38
46	18	80	23	0	192	5	0.57
47	2	45	31	0	191	5	0.36
48	42	5	32	0	184	5	0.57
49	42	12	29	0	191	5	0.38
50	72	35	22	0	194	5	0.57
51	55	20	19	0	196	10	2
52	25	30	3	0	205	10	2
53	20	50	5	91	121	10	2
54	55	60	16	0	211	10	2
55	30	60	16	140	170	10	2
56	50	35	19	0	211	10	2
57	30	25	23	0	203	10	2
58	15	10	20	152	182	10	2
59	10	20	19	0	187	10	2
60	15	60	17	0	203	10	2
61	45	65	9	0	214	10	2
62	65	35	3	52	82	10	2
63	65	20	6	0	190	10	2
64	45	30	17	0	209	10	2
65	35	40	16	0	218	10	2
66	41	37	16	0	216	10	2
67	64	42	9	70	100	10	2
68	40	60	21	0	220	10	2
69	31	52	27	41	71	10	2
70	35	69	23	0	210	10	2
71	65	55	14	0	204	10	2
72	63	65	8	0	202	10	2
73	2	60	5	0	190	10	2
74	20	20	80	141	171	10	2
75	5	5	85	0	172	10	2
76	60	12	62	75	105	10	2
77	23	3	66	150	180	10	2
78	8	56	82	0	197	10	2
79	6	68	84	89	119	10	2
80	47	47	93	0	222	10	2
81	49	58	91	0	217	10	2
82	27	43	99	0	215	10	2
83	37	31	85	0	210	10	2
84	57	29	84	96	126	10	2
85	63	23	99	0	194	10	2
86	21	24	72	0	197	10	2
87	12	24	96	90	120	10	2
88	24	58	60	0	212	10	2
89	67	5	62	0	177	10	2
90	37	47	55	0	225	10	2
91	49	42	95	0	217	10	2
92	53	43	86	14	44	10	2
93	61	52	89	0	208	10	2
94	57	48	78	0	212	10	2
95	56	37	78	0	209	10	2
96	55	54	82	0	214	10	2
97	4	18	82	0	181	10	2
98	26	52	92	0	215	10	2
99	26	35	94	77	107	10	2
100	31	67	64	180	210	10	2
							
