VEHICLE	DRONE						
NUMBER	NUMBER						
12	6						
							
CUSTOMER							
CUST NO.	XCOORD.	YCOORD.	DEMAND	READY TIME	DUE DATE	SERVICE   TIME	COST
							
0	40	50	0	0	3390	0	0
1	52	75	14	71	711	45	0.36
2	45	70	20	20	660	45	0.57
3	62	69	29	927	1567	45	0.36
4	60	66	18	1021	1661	45	0.38
5	42	65	26	15	655	45	0.57
6	16	42	32	257	897	45	0.38
7	58	70	12	833	1473	45	0.38
8	34	60	28	2647	3287	45	0.57
9	28	70	25	2361	3001	45	0.57
10	35	66	26	2551	3191	45	0.36
11	35	69	19	2458	3098	45	0.38
12	25	85	27	1879	2519	45	0.38
13	22	75	29	2165	2805	45	0.57
14	22	85	33	1786	2426	45	0.57
15	20	80	39	1976	2616	45	0.36
16	20	85	12	1694	2334	45	0.38
17	18	75	21	2071	2711	45	0.57
18	15	75	21	1502	2142	45	0.38
19	15	80	37	1597	2237	45	0.57
20	30	50	40	10	650	45	0.36
21	30	56	33	2648	3288	45	0.38
22	28	52	10	12	652	45	0.57
23	14	66	26	1403	2043	45	0.38
24	25	50	39	15	655	45	0.57
25	22	66	37	2264	2904	45	0.36
26	8	62	38	1305	1945	45	0.38
27	23	52	29	17	657	45	0.57
28	4	55	10	1207	1847	45	0.57
29	20	50	21	158	798	45	0.36
30	20	55	34	63	703	45	0.38
31	10	35	34	541	1181	45	0.57
32	10	40	22	353	993	45	0.57
33	8	40	14	445	1085	45	0.36
34	8	45	37	1106	1746	45	0.38
35	5	35	22	636	1276	45	0.57
36	5	45	16	1013	1653	45	0.38
37	2	40	29	731	1371	45	0.57
38	0	40	38	823	1463	45	0.36
39	0	45	35	918	1558	45	0.38
40	36	18	15	1579	2219	45	0.57
41	35	32	24	2518	3158	45	0.38
42	33	32	18	2426	3066	45	0.57
43	33	35	12	2333	2973	45	0.36
44	32	20	31	1673	2313	45	0.57
45	30	30	35	1865	2505	45	0.38
46	34	25	35	1769	2409	45	0.57
47	30	35	22	2240	2880	45	0.36
48	36	40	20	2616	3256	45	0.57
49	48	20	38	727	1367	45	0.38
50	26	32	27	2052	2692	45	0.57
51	25	30	10	1960	2600	90	2
52	25	35	10	2145	2785	90	2
53	44	5	20	1016	1656	90	2
54	42	10	40	920	1560	90	2
55	42	15	10	825	1465	90	2
56	40	5	30	1110	1750	90	2
57	38	15	40	1485	2125	90	2
58	38	5	30	1202	1842	90	2
59	38	10	10	1390	2030	90	2
60	35	5	20	1295	1935	90	2
61	50	30	10	161	801	90	2
62	50	35	20	18	658	90	2
63	50	40	50	14	654	90	2
64	48	30	10	253	893	90	2
65	44	25	10	631	1271	90	2
66	47	35	10	348	988	90	2
67	47	40	10	12	652	90	2
68	42	30	10	536	1176	90	2
69	45	35	10	440	1080	90	2
70	95	30	30	2081	2721	90	2
71	95	35	20	1986	2626	90	2
72	53	30	10	68	708	90	2
73	92	30	10	2174	2814	90	2
74	53	35	50	19	659	90	2
75	45	65	59	15	655	90	2
76	90	35	80	1891	2531	90	2
77	72	45	51	2627	3267	90	2
78	78	40	93	2562	3202	90	2
79	87	30	68	2368	3008	90	2
80	85	25	85	2273	2913	90	2
81	85	35	87	2463	3103	90	2
82	75	55	52	1685	2325	90	2
83	72	55	55	1592	2232	90	2
84	70	58	62	1401	2041	90	2
85	86	46	67	1789	2429	90	2
86	66	55	72	1496	2136	90	2
87	64	46	86	2635	3275	90	2
88	65	60	51	1306	1946	90	2
89	56	64	99	1115	1755	90	2
90	60	55	91	2639	3279	90	2
91	60	60	84	1211	1851	90	2
92	67	85	90	454	1094	90	2
93	42	58	92	8	648	90	2
94	65	82	59	548	1188	90	2
95	62	80	96	641	1281	90	2
96	62	40	84	2635	3275	90	2
97	60	85	74	357	997	90	2
98	58	75	99	738	1378	90	2
99	55	80	83	167	807	90	2
100	55	85	64	262	902	90	2
