VEHICLE	DRONE						
NUMBER	NUMBER						
12	5						
							
CUSTOMER							
CUST NO.	XCOORD.	YCOORD.	DEMAND	READY TIME	DUE DATE	SERVICE   TIME	COST
							
0	35	35	0	0	1000	0	0
1	41	49	26	0	974	5	0.36
2	35	17	10	0	972	5	0.38
3	55	45	23	0	967	5	0.57
4	55	20	32	620	860	5	0.36
5	15	30	20	0	969	5	0.38
6	25	30	21	345	585	5	0.57
7	20	50	29	0	968	5	0.38
8	10	43	13	323	563	5	0.57
9	55	60	36	329	569	5	0.38
10	30	60	15	485	725	5	0.57
11	20	65	28	146	386	5	0.57
12	50	35	11	0	975	5	0.36
13	30	25	29	639	879	5	0.38
14	15	10	40	0	957	5	0.57
15	30	5	23	118	358	5	0.38
16	10	20	35	0	960	5	0.57
17	5	30	14	682	922	5	0.36
18	20	40	28	0	974	5	0.57
19	15	60	19	0	957	5	0.36
20	45	65	13	0	958	5	0.57
21	45	20	29	0	971	5	0.38
22	45	10	30	332	572	5	0.57
23	55	5	19	146	386	5	0.38
24	65	35	30	0	960	5	0.57
25	65	20	16	716	956	5	0.36
26	45	30	27	0	978	5	0.38
27	35	40	32	60	300	5	0.57
28	41	37	13	0	983	5	0.57
29	64	42	34	0	960	5	0.36
30	40	60	37	187	427	5	0.38
31	31	52	16	0	972	5	0.57
32	35	69	27	0	956	5	0.38
33	53	52	23	24	264	5	0.57
34	65	55	19	0	953	5	0.36
35	63	65	32	630	870	5	0.38
36	2	60	23	41	281	5	0.57
37	20	20	20	0	968	5	0.57
38	5	5	36	234	474	5	0.36
39	60	12	27	33	273	5	0.38
40	40	25	32	279	519	5	0.57
41	42	7	14	334	574	5	0.38
42	24	12	28	25	265	5	0.57
43	23	3	39	0	955	5	0.36
44	11	14	20	167	407	5	0.57
45	6	38	31	29	269	5	0.38
46	2	48	16	0	954	5	0.57
47	8	56	33	0	955	5	0.36
48	13	52	20	0	962	5	0.57
49	6	68	29	401	641	5	0.38
50	47	47	23	0	973	5	0.57
51	49	58	10	0	963	10	2
52	27	43	9	0	978	10	2
53	37	31	14	332	572	10	2
54	57	29	18	0	967	10	2
55	63	23	2	560	800	10	2
56	53	12	6	519	759	10	2
57	32	12	7	0	966	10	2
58	36	26	18	740	980	10	2
59	21	24	28	0	972	10	2
60	17	34	3	0	971	10	2
61	12	24	13	0	964	10	2
62	24	58	19	113	353	10	2
63	27	69	10	0	955	10	2
64	15	77	9	154	394	10	2
65	62	77	20	49	289	10	2
66	49	73	25	523	763	10	2
67	67	5	25	228	468	10	2
68	56	39	36	575	815	10	2
69	37	47	6	108	348	10	2
70	37	56	5	728	968	10	2
71	57	68	15	0	950	10	2
72	47	16	25	0	967	10	2
73	44	17	9	0	969	10	2
74	46	13	85	622	862	10	2
75	49	11	80	0	962	10	2
76	49	42	88	212	452	10	2
77	53	43	73	730	970	10	2
78	61	52	56	322	562	10	2
79	57	48	96	307	547	10	2
80	56	37	57	728	968	10	2
81	55	54	93	0	962	10	2
82	15	47	80	0	966	10	2
83	14	37	63	0	968	10	2
84	11	31	63	354	594	10	2
85	16	22	86	0	966	10	2
86	4	18	58	0	954	10	2
87	28	18	71	314	554	10	2
88	26	52	63	214	454	10	2
89	26	35	76	0	981	10	2
90	31	67	83	0	957	10	2
91	15	19	91	0	964	10	2
92	22	22	67	18	258	10	2
93	18	24	67	729	969	10	2
94	26	27	70	0	977	10	2
95	25	24	78	0	975	10	2
96	22	27	100	0	974	10	2
97	25	21	70	0	972	10	2
98	19	21	51	0	968	10	2
99	20	26	78	263	503	10	2
100	18	18	85	725	965	10	2
