VEHICLE	DRONE						
NUMBER	NUMBER						
8	6						
							
CUSTOMER							
CUST NO.	XCOORD.	YCOORD.	DEMAND	READY TIME	DUE DATE	SERVICE   TIME	COST
							
0	40	50	0	0	1236	0	0
1	45	68	25	890	989	45	0.57
2	45	70	16	816	879	45	0.36
3	42	66	12	55	156	45	0.38
4	42	68	24	703	806	45	0.57
5	42	65	24	15	60	45	0.38
6	40	69	12	559	764	45	0.38
7	40	66	12	172	223	45	0.57
8	38	68	33	250	329	45	0.57
9	38	70	27	489	650	45	0.36
10	35	66	25	361	406	45	0.38
11	35	69	35	450	503	45	0.38
12	25	85	23	647	726	45	0.57
13	22	75	15	30	95	45	0.38
14	22	85	12	571	616	45	0.57
15	20	80	13	392	421	45	0.57
16	20	85	38	478	525	45	0.36
17	18	75	13	105	142	45	0.38
18	15	75	39	172	261	45	0.57
19	15	80	27	274	349	45	0.38
20	30	50	13	10	77	45	0.57
21	30	52	33	918	961	45	0.36
22	28	52	38	806	889	45	0.57
23	28	55	14	739	770	45	0.38
24	25	50	15	55	154	45	0.57
25	25	52	22	172	221	45	0.36
26	25	55	19	612	711	45	0.38
27	23	52	38	264	313	45	0.57
28	23	55	14	553	586	45	0.38
29	20	50	13	365	398	45	0.38
30	20	55	29	452	501	45	0.57
31	10	35	34	204	233	45	0.57
32	10	40	19	31	189	45	0.36
33	8	40	18	42	203	45	0.38
34	8	45	26	715	852	45	0.38
35	5	35	24	251	376	45	0.38
36	5	45	24	648	733	45	0.57
37	2	40	14	365	452	45	0.36
38	0	40	28	474	527	45	0.38
39	0	45	39	541	650	45	0.57
40	35	30	38	240	345	45	0.38
41	35	32	11	123	278	45	0.38
42	33	32	15	19	225	45	0.57
43	33	35	17	16	153	45	0.57
44	32	30	27	338	433	45	0.36
45	30	30	38	513	628	45	0.38
46	30	32	12	415	542	45	0.38
47	30	35	13	872	1127	45	0.36
48	28	30	27	599	726	45	0.57
49	28	35	20	917	1126	45	0.38
50	26	32	34	779	916	45	0.57
51	25	30	10	695	816	90	2
52	25	35	10	857	1024	90	2
53	44	5	20	221	412	90	2
54	42	10	40	96	347	90	2
55	42	15	10	35	233	90	2
56	40	5	30	347	474	90	2
57	40	15	40	35	172	90	2
58	38	5	30	403	602	90	2
59	38	15	10	521	870	90	2
60	35	5	20	487	704	90	2
61	50	30	10	422	719	90	2
62	50	35	20	217	362	90	2
63	50	40	50	142	247	90	2
64	48	30	10	567	758	90	2
65	48	40	10	34	171	90	2
66	47	35	10	794	907	90	2
67	47	40	10	12	226	90	2
68	45	30	10	716	795	90	2
69	45	35	10	873	1012	90	2
70	95	30	30	266	577	90	2
71	95	35	20	181	472	90	2
72	53	30	10	402	553	90	2
73	92	30	10	345	684	90	2
74	53	35	72	294	471	90	2
75	45	65	97	951	1114	90	2
76	90	35	51	153	310	90	2
77	88	30	54	450	767	90	2
78	88	35	89	50	237	90	2
79	87	30	78	567	832	90	2
80	85	25	75	713	876	90	2
81	85	35	86	47	331	90	2
82	75	55	92	311	478	90	2
83	72	55	70	127	476	90	2
84	70	58	60	349	632	90	2
85	68	60	79	476	691	90	2
86	66	55	52	67	344	90	2
87	65	55	81	25	256	90	2
88	65	60	98	546	807	90	2
89	63	58	77	630	909	90	2
90	60	55	97	20	293	90	2
91	60	60	84	769	956	90	2
92	67	85	71	229	580	90	2
93	65	85	96	442	551	90	2
94	65	82	85	227	394	90	2
95	62	80	53	163	272	90	2
96	60	80	66	36	291	90	2
97	60	85	74	469	714	90	2
98	58	75	71	30	227	90	2
99	55	80	97	595	968	90	2
100	55	85	85	493	880	90	2
							
