VEHICLE	DRONE						
NUMBER	NUMBER						
12	5						
							
CUSTOMER							
CUST NO.	XCOORD.	YCOORD.	DEMAND	READY TIME	DUE DATE	SERVICE   TIME	COST
							
0	40	50	0	0	3390	0	0
1	52	75	17	311	471	45	0.38
2	45	70	18	213	373	45	0.57
3	62	69	34	1167	1327	45	0.36
4	60	66	38	1261	1421	45	0.38
5	42	65	28	25	185	45	0.57
6	16	42	28	497	657	45	0.57
7	58	70	25	1073	1233	45	0.38
8	34	60	31	2887	3047	45	0.57
9	28	70	38	2601	2761	45	0.57
10	35	66	26	2791	2951	45	0.36
11	35	69	18	2698	2858	45	0.38
12	25	85	38	2119	2279	45	0.57
13	22	75	30	2405	2565	45	0.38
14	22	85	21	2026	2186	45	0.57
15	20	80	38	2216	2376	45	0.36
16	20	85	30	1934	2094	45	0.57
17	18	75	28	2311	2471	45	0.36
18	15	75	16	1742	1902	45	0.38
19	15	80	36	1837	1997	45	0.57
20	30	50	22	10	170	45	0.57
21	30	56	29	2983	3143	45	0.38
22	28	52	12	22	182	45	0.57
23	14	66	32	1643	1803	45	0.38
24	25	50	14	116	276	45	0.57
25	22	66	12	2504	2664	45	0.36
26	8	62	29	1545	1705	45	0.38
27	23	52	33	209	369	45	0.57
28	4	55	21	1447	1607	45	0.57
29	20	50	12	398	558	45	0.36
30	20	55	23	303	463	45	0.38
31	10	35	28	781	941	45	0.57
32	10	40	27	593	753	45	0.38
33	8	40	30	685	845	45	0.57
34	8	45	21	1346	1506	45	0.36
35	5	35	23	876	1036	45	0.38
36	5	45	31	1253	1413	45	0.57
37	2	40	14	971	1131	45	0.57
38	0	40	11	1063	1223	45	0.36
39	0	45	39	1158	1318	45	0.38
40	36	18	18	1819	1979	45	0.57
41	35	32	14	2758	2918	45	0.38
42	33	32	15	2666	2826	45	0.57
43	33	35	28	2573	2733	45	0.36
44	32	20	31	1913	2073	45	0.57
45	30	30	35	2105	2265	45	0.38
46	34	25	26	2009	2169	45	0.57
47	30	35	23	2480	2640	45	0.36
48	36	40	25	2856	3016	45	0.57
49	48	20	16	967	1127	45	0.38
50	26	32	35	2292	2452	45	0.57
51	25	30	10	2200	2360	90	2
52	25	35	10	2385	2545	90	2
53	44	5	20	1256	1416	90	2
54	42	10	40	1160	1320	90	2
55	42	15	10	1065	1225	90	2
56	40	5	30	1350	1510	90	2
57	38	15	40	1725	1885	90	2
58	38	5	30	1442	1602	90	2
59	38	10	10	1630	1790	90	2
60	35	5	20	1535	1695	90	2
61	50	30	10	401	561	90	2
62	50	35	20	120	280	90	2
63	50	40	50	25	185	90	2
64	48	30	10	493	653	90	2
65	44	25	10	871	1031	90	2
66	47	35	10	588	748	90	2
67	47	40	10	12	172	90	2
68	42	30	10	776	936	90	2
69	45	35	10	680	840	90	2
70	95	30	30	2321	2481	90	2
71	95	35	20	2226	2386	90	2
72	53	30	10	308	468	90	2
73	92	30	10	2414	2574	90	2
74	53	35	97	213	373	90	2
75	45	65	66	118	278	90	2
76	90	35	59	2131	2291	90	2
77	72	45	75	2900	3060	90	2
78	78	40	97	2802	2962	90	2
79	87	30	70	2608	2768	90	2
80	85	25	90	2513	2673	90	2
81	85	35	95	2703	2863	90	2
82	75	55	97	1925	2085	90	2
83	72	55	81	1832	1992	90	2
84	70	58	83	1641	1801	90	2
85	86	46	73	2029	2189	90	2
86	66	55	84	1736	1896	90	2
87	64	46	52	3097	3257	90	2
88	65	60	97	1546	1706	90	2
89	56	64	84	1355	1515	90	2
90	60	55	88	3119	3279	90	2
91	60	60	60	1451	1611	90	2
92	67	85	65	694	854	90	2
93	42	58	72	8	168	90	2
94	65	82	73	788	948	90	2
95	62	80	68	881	1041	90	2
96	62	40	70	3001	3161	90	2
97	60	85	83	597	757	90	2
98	58	75	83	978	1138	90	2
99	55	80	70	407	567	90	2
100	55	85	91	502	662	90	2
