VEHICLE	DRONE						
NUMBER	NUMBER						
8	3						
							
CUSTOMER							
CUST NO.	XCOORD.	YCOORD.	DEMAND	READY TIME	DUE DATE	SERVICE   TIME	COST
							
0	40	50	0	0	3390	0	0
1	52	75	32	231	551	45	0.36
2	45	70	10	133	453	45	0.38
3	62	69	23	1087	1407	45	0.57
4	60	66	36	1181	1501	45	0.36
5	42	65	12	15	335	45	0.38
6	16	42	15	417	737	45	0.57
7	58	70	28	993	1313	45	0.38
8	34	60	35	2807	3127	45	0.57
9	28	70	39	2521	2841	45	0.38
10	35	66	13	2711	3031	45	0.57
11	35	69	23	2618	2938	45	0.57
12	25	85	26	2039	2359	45	0.36
13	22	75	12	2325	2645	45	0.38
14	22	85	26	1946	2266	45	0.57
15	20	80	17	2136	2456	45	0.38
16	20	85	14	1854	2174	45	0.57
17	18	75	32	2231	2551	45	0.36
18	15	75	25	1662	1982	45	0.57
19	15	80	37	1757	2077	45	0.36
20	30	50	35	10	330	45	0.57
21	30	56	19	2903	3223	45	0.38
22	28	52	19	12	332	45	0.57
23	14	66	40	1563	1883	45	0.38
24	25	50	33	36	356	45	0.57
25	22	66	17	2424	2744	45	0.36
26	8	62	20	1465	1785	45	0.38
27	23	52	14	129	449	45	0.57
28	4	55	31	1367	1687	45	0.57
29	20	50	24	318	638	45	0.36
30	20	55	19	223	543	45	0.38
31	10	35	35	701	1021	45	0.57
32	10	40	26	513	833	45	0.38
33	8	40	22	605	925	45	0.57
34	8	45	39	1266	1586	45	0.36
35	5	35	25	796	1116	45	0.38
36	5	45	23	1173	1493	45	0.57
37	2	40	21	891	1211	45	0.57
38	0	40	30	983	1303	45	0.36
39	0	45	16	1078	1398	45	0.38
40	36	18	20	1739	2059	45	0.57
41	35	32	12	2678	2998	45	0.38
42	33	32	17	2586	2906	45	0.57
43	33	35	29	2493	2813	45	0.36
44	32	20	35	1833	2153	45	0.57
45	30	30	34	2025	2345	45	0.38
46	34	25	35	1929	2249	45	0.57
47	30	35	26	2400	2720	45	0.36
48	36	40	24	2776	3096	45	0.57
49	48	20	14	887	1207	45	0.38
50	26	32	37	2212	2532	45	0.57
51	25	30	10	2120	2440	90	2
52	25	35	10	2305	2625	90	2
53	44	5	20	1176	1496	90	2
54	42	10	40	1080	1400	90	2
55	42	15	10	985	1305	90	2
56	40	5	30	1270	1590	90	2
57	38	15	40	1645	1965	90	2
58	38	5	30	1362	1682	90	2
59	38	10	10	1550	1870	90	2
60	35	5	20	1455	1775	90	2
61	50	30	10	321	641	90	2
62	50	35	20	40	360	90	2
63	50	40	50	14	334	90	2
64	48	30	10	413	733	90	2
65	44	25	10	791	1111	90	2
66	47	35	10	508	828	90	2
67	47	40	10	12	332	90	2
68	42	30	10	696	1016	90	2
69	45	35	10	600	920	90	2
70	95	30	30	2241	2561	90	2
71	95	35	20	2146	2466	90	2
72	53	30	10	228	548	90	2
73	92	30	10	2334	2654	90	2
74	53	35	69	133	453	90	2
75	45	65	58	38	358	90	2
76	90	35	88	2051	2371	90	2
77	72	45	84	2820	3140	90	2
78	78	40	94	2722	3042	90	2
79	87	30	86	2528	2848	90	2
80	85	25	96	2433	2753	90	2
81	85	35	70	2623	2943	90	2
82	75	55	70	1845	2165	90	2
83	72	55	95	1752	2072	90	2
84	70	58	98	1561	1881	90	2
85	86	46	84	1949	2269	90	2
86	66	55	80	1656	1976	90	2
87	64	46	93	2955	3275	90	2
88	65	60	86	1466	1786	90	2
89	56	64	75	1275	1595	90	2
90	60	55	89	2959	3279	90	2
91	60	60	52	1371	1691	90	2
92	67	85	76	614	934	90	2
93	42	58	58	8	328	90	2
94	65	82	95	708	1028	90	2
95	62	80	93	801	1121	90	2
96	62	40	78	2921	3241	90	2
97	60	85	95	517	837	90	2
98	58	75	66	898	1218	90	2
99	55	80	80	327	647	90	2
100	55	85	55	422	742	90	2
							
							
							
