VEHICLE	DRONE						
NUMBER	NUMBER						
7	4						
							
CUSTOMER							
CUST NO.	XCOORD.	YCOORD.	DEMAND	READY TIME	DUE DATE	SERVICE   TIME	COST
							
0	40	50	0	0	960	0	0
1	25	85	40	591	874	5	0.36
2	22	75	11	73	350	5	0.38
3	22	85	29	473	588	5	0.57
4	20	80	31	418	913	5	0.36
5	20	85	29	40	390	5	0.38
6	18	75	30	249	646	5	0.57
7	15	75	30	281	438	5	0.38
8	15	80	31	272	581	5	0.57
9	10	35	17	236	625	5	0.38
10	10	40	32	470	687	5	0.57
11	8	40	37	33	510	5	0.57
12	8	45	32	166	399	5	0.36
13	5	35	23	359	911	5	0.38
14	5	45	36	35	457	5	0.57
15	2	40	25	39	538	5	0.38
16	0	40	29	214	415	5	0.57
17	0	45	10	359	909	5	0.36
18	44	5	36	338	451	5	0.57
19	42	10	21	205	422	5	0.36
20	42	15	28	511	682	5	0.57
21	40	5	34	158	391	5	0.38
22	40	15	22	263	606	5	0.57
23	38	5	37	45	522	5	0.38
24	38	15	15	598	883	5	0.57
25	35	5	27	348	904	5	0.36
26	95	30	16	509	668	5	0.38
27	95	35	22	57	664	5	0.57
28	92	30	26	68	349	5	0.57
29	90	35	28	131	376	5	0.36
30	88	30	23	114	497	5	0.38
31	88	35	26	102	347	5	0.57
32	87	30	23	564	797	5	0.38
33	85	25	30	51	673	5	0.57
34	85	35	35	462	631	5	0.36
35	67	85	40	396	905	5	0.38
36	65	85	11	43	712	5	0.57
37	65	82	26	530	703	5	0.57
38	62	80	17	131	544	5	0.36
39	60	80	38	36	800	5	0.38
40	60	85	22	233	544	5	0.57
41	58	75	13	207	664	5	0.38
42	55	80	10	33	624	5	0.57
43	55	85	34	549	718	5	0.36
44	55	82	10	62	491	5	0.57
45	20	82	31	37	677	5	0.38
46	18	80	35	435	662	5	0.57
47	2	45	33	38	366	5	0.36
48	42	5	30	636	904	5	0.57
49	42	12	17	423	576	5	0.38
50	72	35	22	471	662	5	0.57
51	55	20	19	281	490	10	2
52	25	30	3	109	360	10	2
53	20	50	5	284	585	10	2
54	55	60	16	568	753	10	2
55	30	60	16	421	896	10	2
56	50	35	19	404	829	10	2
57	30	25	23	347	566	10	2
58	15	10	20	380	902	10	2
59	10	20	19	42	466	10	2
60	15	60	17	613	894	10	2
61	45	65	9	230	405	10	2
62	65	35	3	29	587	10	2
63	65	20	6	39	353	10	2
64	45	30	17	20	497	10	2
65	35	40	16	11	570	10	2
66	41	37	16	423	828	10	2
67	64	42	9	112	543	10	2
68	40	60	21	441	902	10	2
69	31	52	27	9	532	10	2
70	35	69	23	211	930	10	2
71	65	55	14	201	400	10	2
72	63	65	8	27	382	10	2
73	2	60	5	255	436	10	2
74	20	20	68	427	913	10	2
75	5	5	90	183	400	10	2
76	60	12	54	162	493	10	2
77	23	3	66	360	900	10	2
78	8	56	78	195	654	10	2
79	6	68	98	258	565	10	2
80	47	47	57	426	942	10	2
81	49	58	98	369	460	10	2
82	27	43	52	85	338	10	2
83	37	31	72	19	326	10	2
84	57	29	81	304	605	10	2
85	63	23	90	318	489	10	2
86	21	24	73	332	485	10	2
87	12	24	78	365	472	10	2
88	24	58	76	100	539	10	2
89	67	5	68	565	897	10	2
90	37	47	54	324	513	10	2
91	49	42	80	651	906	10	2
92	53	43	59	14	669	10	2
93	61	52	82	298	928	10	2
94	57	48	70	385	518	10	2
95	56	37	94	20	299	10	2
96	55	54	71	538	705	10	2
97	4	18	66	546	667	10	2
98	26	52	84	109	354	10	2
99	26	35	91	170	565	10	2
100	31	67	70	262	930	10	2
							
