VEHICLE	DRONE						
NUMBER	NUMBER						
7	7						
							
CUSTOMER							
CUST NO.	XCOORD.	YCOORD.	DEMAND	READY TIME	DUE DATE	SERVICE   TIME	COST
							
0	40	50	0	0	960	0	0
1	25	85	37	388	911	5	0.57
2	22	75	35	30	546	5	0.36
3	22	85	30	353	708	5	0.38
4	20	80	38	425	913	5	0.57
5	20	85	12	40	630	5	0.38
6	18	75	28	228	667	5	0.38
7	15	75	26	161	558	5	0.57
8	15	80	28	229	624	5	0.57
9	10	35	17	213	648	5	0.36
10	10	40	36	404	753	5	0.38
11	8	40	15	33	511	5	0.38
12	8	45	11	46	519	5	0.57
13	5	35	21	395	911	5	0.38
14	5	45	24	35	697	5	0.57
15	2	40	14	39	528	5	0.57
16	0	40	30	94	535	5	0.36
17	0	45	27	394	909	5	0.38
18	44	5	22	218	571	5	0.57
19	42	10	10	85	542	5	0.38
20	42	15	31	391	802	5	0.57
21	40	5	18	45	517	5	0.36
22	40	15	35	229	640	5	0.57
23	38	5	38	45	523	5	0.38
24	38	15	16	389	914	5	0.57
25	35	5	21	386	904	5	0.36
26	95	30	27	389	788	5	0.38
27	95	35	18	57	600	5	0.57
28	92	30	32	55	575	5	0.38
29	90	35	26	52	536	5	0.38
30	88	30	12	90	521	5	0.57
31	88	35	15	50	534	5	0.57
32	87	30	32	425	898	5	0.36
33	85	25	35	51	602	5	0.38
34	85	35	17	342	751	5	0.38
35	67	85	30	410	905	5	0.38
36	65	85	35	43	617	5	0.57
37	65	82	19	410	823	5	0.36
38	62	80	11	114	561	5	0.38
39	60	80	12	36	658	5	0.57
40	60	85	14	191	586	5	0.38
41	58	75	17	201	670	5	0.38
42	55	80	33	33	568	5	0.57
43	55	85	29	429	838	5	0.57
44	55	82	28	49	504	5	0.36
45	20	82	11	37	597	5	0.38
46	18	80	37	315	782	5	0.38
47	2	45	26	38	606	5	0.36
48	42	5	28	396	904	5	0.57
49	42	12	22	341	658	5	0.38
50	72	35	13	351	782	5	0.57
51	55	20	19	161	610	10	2
52	25	30	3	25	516	10	2
53	20	50	5	239	630	10	2
54	55	60	16	448	873	10	2
55	30	60	16	420	897	10	2
56	50	35	19	390	843	10	2
57	30	25	23	227	686	10	2
58	15	10	20	401	902	10	2
59	10	20	19	42	706	10	2
60	15	60	17	401	923	10	2
61	45	65	9	110	525	10	2
62	65	35	3	29	548	10	2
63	65	20	6	39	593	10	2
64	45	30	17	20	498	10	2
65	35	40	16	11	530	10	2
66	41	37	16	404	847	10	2
67	64	42	9	100	555	10	2
68	40	60	21	436	907	10	2
69	31	52	27	9	510	10	2
70	35	69	23	330	930	10	2
71	65	55	14	81	520	10	2
72	63	65	8	27	622	10	2
73	2	60	5	135	556	10	2
74	20	20	99	430	913	10	2
75	5	5	55	63	520	10	2
76	60	12	61	125	530	10	2
77	23	3	78	390	900	10	2
78	8	56	92	190	659	10	2
79	6	68	61	215	608	10	2
80	47	47	58	444	942	10	2
81	49	58	70	249	580	10	2
82	27	43	82	14	506	10	2
83	37	31	78	19	566	10	2
84	57	29	60	259	650	10	2
85	63	23	55	198	609	10	2
86	21	24	94	212	605	10	2
87	12	24	63	272	565	10	2
88	24	58	90	90	549	10	2
89	67	5	64	325	897	10	2
90	37	47	70	204	633	10	2
91	49	42	98	442	937	10	2
92	53	43	56	14	581	10	2
93	61	52	88	373	928	10	2
94	57	48	92	265	638	10	2
95	56	37	64	20	539	10	2
96	55	54	82	418	825	10	2
97	4	18	59	426	787	10	2
98	26	52	88	14	499	10	2
99	26	35	87	149	586	10	2
100	31	67	75	356	930	10	2
