VEHICLE	DRONE						
NUMBER	NUMBER						
8	7						
							
CUSTOMER							
CUST NO.	XCOORD.	YCOORD.	DEMAND	READY TIME	DUE DATE	SERVICE   TIME	COST
							
0	35	35	0	0	1000	0	0
1	41	49	31	0	974	5	0.36
2	35	17	33	0	972	5	0.57
3	55	45	11	0	967	5	0.36
4	55	20	28	620	860	5	0.38
5	15	30	17	0	969	5	0.57
6	25	30	22	0	978	5	0.38
7	20	50	27	0	968	5	0.38
8	10	43	27	323	563	5	0.57
9	55	60	23	329	569	5	0.57
10	30	60	40	0	964	5	0.36
11	20	65	26	146	386	5	0.38
12	50	35	14	0	975	5	0.38
13	30	25	36	639	879	5	0.57
14	15	10	36	0	957	5	0.57
15	30	5	11	118	358	5	0.36
16	10	20	23	0	960	5	0.38
17	5	30	19	0	959	5	0.57
18	20	40	36	0	974	5	0.38
19	15	60	23	0	957	5	0.57
20	45	65	16	0	958	5	0.36
21	45	20	30	0	971	5	0.38
22	45	10	26	0	963	5	0.57
23	55	5	30	146	386	5	0.38
24	65	35	20	0	960	5	0.57
25	65	20	38	716	956	5	0.36
26	45	30	19	0	978	5	0.38
27	35	40	34	0	985	5	0.57
28	41	37	29	0	983	5	0.57
29	64	42	27	0	960	5	0.36
30	40	60	33	0	964	5	0.38
31	31	52	20	0	972	5	0.57
32	35	69	12	0	956	5	0.57
33	53	52	37	0	965	5	0.36
34	65	55	24	0	953	5	0.38
35	63	65	14	0	948	5	0.57
36	2	60	37	0	948	5	0.38
37	20	20	24	0	968	5	0.57
38	5	5	39	234	474	5	0.36
39	60	12	34	0	956	5	0.38
40	40	25	37	0	978	5	0.57
41	42	7	10	0	961	5	0.38
42	24	12	34	0	964	5	0.57
43	23	3	23	0	955	5	0.36
44	11	14	30	167	407	5	0.57
45	6	38	36	0	960	5	0.38
46	2	48	40	0	954	5	0.57
47	8	56	35	0	955	5	0.36
48	13	52	19	0	962	5	0.57
49	6	68	17	0	946	5	0.38
50	47	47	27	0	973	5	0.57
51	49	58	10	0	963	10	2
52	27	43	9	0	978	10	2
53	37	31	14	332	572	10	2
54	57	29	18	0	967	10	2
55	63	23	2	560	800	10	2
56	53	12	6	0	960	10	2
57	32	12	7	0	966	10	2
58	36	26	18	740	980	10	2
59	21	24	28	0	972	10	2
60	17	34	3	0	971	10	2
61	12	24	13	0	964	10	2
62	24	58	19	113	353	10	2
63	27	69	10	0	955	10	2
64	15	77	9	0	943	10	2
65	62	77	20	0	940	10	2
66	49	73	25	0	949	10	2
67	67	5	25	228	468	10	2
68	56	39	36	0	968	10	2
69	37	47	6	108	348	10	2
70	37	56	5	0	968	10	2
71	57	68	15	0	950	10	2
72	47	16	25	0	967	10	2
73	44	17	9	0	969	10	2
74	46	13	93	622	862	10	2
75	49	11	67	0	962	10	2
76	49	42	95	212	452	10	2
77	53	43	83	730	970	10	2
78	61	52	76	0	958	10	2
79	57	48	88	307	547	10	2
80	56	37	74	0	968	10	2
81	55	54	77	0	962	10	2
82	15	47	71	0	966	10	2
83	14	37	94	0	968	10	2
84	11	31	53	354	594	10	2
85	16	22	73	0	966	10	2
86	4	18	62	0	954	10	2
87	28	18	62	314	554	10	2
88	26	52	69	0	970	10	2
89	26	35	66	0	981	10	2
90	31	67	63	0	957	10	2
91	15	19	56	0	964	10	2
92	22	22	82	18	258	10	2
93	18	24	75	0	969	10	2
94	26	27	84	0	977	10	2
95	25	24	52	0	975	10	2
96	22	27	58	0	974	10	2
97	25	21	66	0	972	10	2
98	19	21	81	0	968	10	2
99	20	26	64	263	503	10	2
100	18	18	85	725	965	10	2
