VEHICLE	DRONE						
NUMBER	NUMBER						
8	5						
							
CUSTOMER							
CUST NO.	XCOORD.	YCOORD.	DEMAND	READY TIME	DUE DATE	SERVICE   TIME	COST
							
0	40	50	0	0	240	0	0
1	25	85	34	49	191	5	0.57
2	22	75	36	30	168	5	0.36
3	22	85	31	95	152	5	0.38
4	20	80	33	69	193	5	0.57
5	20	85	15	40	189	5	0.38
6	18	75	18	60	159	5	0.38
7	15	75	19	54	133	5	0.57
8	15	80	22	67	144	5	0.57
9	10	35	35	57	154	5	0.36
10	10	40	17	106	161	5	0.38
11	8	40	21	33	152	5	0.38
12	8	45	38	32	148	5	0.57
13	5	35	29	53	191	5	0.38
14	5	45	31	35	194	5	0.57
15	2	40	32	39	163	5	0.57
16	0	40	24	41	141	5	0.36
17	0	45	37	51	189	5	0.38
18	44	5	22	73	130	5	0.57
19	42	10	15	40	148	5	0.38
20	42	15	30	94	179	5	0.57
21	40	5	30	45	161	5	0.36
22	40	15	28	64	149	5	0.57
23	38	5	30	45	164	5	0.38
24	38	15	12	51	194	5	0.57
25	35	5	20	45	183	5	0.36
26	95	30	23	90	169	5	0.38
27	95	35	37	57	172	5	0.57
28	92	30	17	55	174	5	0.38
29	90	35	24	52	174	5	0.38
30	88	30	10	52	147	5	0.57
31	88	35	26	50	172	5	0.57
32	87	30	16	61	178	5	0.36
33	85	25	20	51	178	5	0.38
34	85	35	25	83	168	5	0.38
35	67	85	36	57	185	5	0.38
36	65	85	29	43	186	5	0.57
37	65	82	13	95	182	5	0.36
38	62	80	38	38	141	5	0.38
39	60	80	32	36	193	5	0.57
40	60	85	32	61	138	5	0.38
41	58	75	33	49	164	5	0.38
42	55	80	33	33	180	5	0.57
43	55	85	16	100	185	5	0.57
44	55	82	16	35	142	5	0.36
45	20	82	29	37	192	5	0.38
46	18	80	22	71	184	5	0.38
47	2	45	26	38	191	5	0.36
48	42	5	37	50	184	5	0.57
49	42	12	33	99	138	5	0.38
50	72	35	18	83	178	5	0.57
51	55	20	19	45	150	10	2
52	25	30	3	25	150	10	2
53	20	50	5	68	143	10	2
54	55	60	16	107	200	10	2
55	30	60	16	95	214	10	2
56	50	35	19	91	198	10	2
57	30	25	23	56	165	10	2
58	15	10	20	51	182	10	2
59	10	20	19	42	187	10	2
60	15	60	17	62	203	10	2
61	45	65	9	37	124	10	2
62	65	35	3	29	168	10	2
63	65	20	6	39	190	10	2
64	45	30	17	20	139	10	2
65	35	40	16	11	150	10	2
66	41	37	16	97	198	10	2
67	64	42	9	31	138	10	2
68	40	60	21	101	216	10	2
69	31	52	27	9	139	10	2
70	35	69	23	30	210	10	2
71	65	55	14	30	129	10	2
72	63	65	8	27	202	10	2
73	2	60	5	46	137	10	2
74	20	20	98	71	193	10	2
75	5	5	53	57	165	10	2
76	60	12	78	48	131	10	2
77	23	3	60	49	180	10	2
78	8	56	57	47	162	10	2
79	6	68	75	65	142	10	2
80	47	47	72	93	222	10	2
81	49	58	80	78	123	10	2
82	27	43	80	14	140	10	2
83	37	31	59	19	172	10	2
84	57	29	69	73	148	10	2
85	63	23	89	59	144	10	2
86	21	24	62	63	140	10	2
87	12	24	54	91	118	10	2
88	24	58	70	27	136	10	2
89	67	5	78	52	177	10	2
90	37	47	62	53	148	10	2
91	49	42	58	89	217	10	2
92	53	43	51	14	177	10	2
93	61	52	83	50	208	10	2
94	57	48	94	76	143	10	2
95	56	37	86	20	159	10	2
96	55	54	99	105	188	10	2
97	4	18	56	104	165	10	2
98	26	52	59	14	136	10	2
99	26	35	65	42	141	10	2
100	31	67	53	43	210	10	2
							
