VEHICLE	DRONE						
NUMBER	NUMBER						
12	4						
							
CUSTOMER							
CUST NO.	XCOORD.	YCOORD.	DEMAND	READY TIME	DUE DATE	SERVICE   TIME	COST
							
0	35	35	0	0	1000	0	0
1	41	49	11	0	974	5	0.57
2	35	17	24	0	972	5	0.36
3	55	45	35	0	967	5	0.38
4	55	20	33	678	801	5	0.57
5	15	30	28	0	969	5	0.38
6	25	30	32	0	978	5	0.38
7	20	50	31	0	968	5	0.57
8	10	43	31	404	481	5	0.57
9	55	60	16	400	497	5	0.36
10	30	60	20	0	964	5	0.38
11	20	65	30	206	325	5	0.38
12	50	35	21	0	975	5	0.57
13	30	25	36	690	827	5	0.38
14	15	10	39	0	957	5	0.57
15	30	5	22	175	300	5	0.57
16	10	20	26	0	960	5	0.36
17	5	30	35	0	959	5	0.38
18	20	40	13	0	974	5	0.57
19	15	60	14	0	957	5	0.38
20	45	65	37	0	958	5	0.57
21	45	20	14	0	971	5	0.36
22	45	10	33	0	963	5	0.57
23	55	5	11	206	325	5	0.38
24	65	35	19	0	960	5	0.57
25	65	20	13	817	956	5	0.36
26	45	30	40	0	978	5	0.38
27	35	40	27	0	985	5	0.57
28	41	37	25	0	983	5	0.38
29	64	42	37	0	960	5	0.38
30	40	60	34	0	964	5	0.57
31	31	52	16	0	972	5	0.57
32	35	69	30	0	956	5	0.36
33	53	52	16	0	965	5	0.38
34	65	55	37	0	953	5	0.38
35	63	65	30	0	948	5	0.38
36	2	60	12	0	948	5	0.57
37	20	20	22	0	968	5	0.36
38	5	5	25	302	405	5	0.38
39	60	12	38	0	956	5	0.57
40	40	25	38	0	978	5	0.38
41	42	7	19	0	961	5	0.38
42	24	12	26	0	964	5	0.57
43	23	3	12	0	955	5	0.57
44	11	14	18	233	340	5	0.36
45	6	38	23	0	960	5	0.38
46	2	48	27	0	954	5	0.38
47	8	56	19	0	955	5	0.36
48	13	52	27	0	962	5	0.57
49	6	68	33	0	946	5	0.38
50	47	47	35	0	973	5	0.57
51	49	58	10	0	963	10	2
52	27	43	9	0	978	10	2
53	37	31	14	414	489	10	2
54	57	29	18	0	967	10	2
55	63	23	2	620	739	10	2
56	53	12	6	0	960	10	2
57	32	12	7	0	966	10	2
58	36	26	18	849	980	10	2
59	21	24	28	0	972	10	2
60	17	34	3	0	971	10	2
61	12	24	13	0	964	10	2
62	24	58	19	163	302	10	2
63	27	69	10	0	955	10	2
64	15	77	9	0	943	10	2
65	62	77	20	0	940	10	2
66	49	73	25	0	949	10	2
67	67	5	25	294	401	10	2
68	56	39	36	0	968	10	2
69	37	47	6	162	293	10	2
70	37	56	5	0	968	10	2
71	57	68	15	0	950	10	2
72	47	16	25	0	967	10	2
73	44	17	9	0	969	10	2
74	46	13	77	681	802	10	2
75	49	11	76	0	962	10	2
76	49	42	52	290	373	10	2
77	53	43	83	817	952	10	2
78	61	52	65	0	958	10	2
79	57	48	64	388	465	10	2
80	56	37	84	0	968	10	2
81	55	54	53	0	962	10	2
82	15	47	89	0	966	10	2
83	14	37	92	0	968	10	2
84	11	31	96	436	511	10	2
85	16	22	77	0	966	10	2
86	4	18	71	0	954	10	2
87	28	18	67	420	447	10	2
88	26	52	87	0	970	10	2
89	26	35	71	0	981	10	2
90	31	67	87	0	957	10	2
91	15	19	51	0	964	10	2
92	22	22	85	18	181	10	2
93	18	24	50	0	969	10	2
94	26	27	84	0	977	10	2
95	25	24	57	0	975	10	2
96	22	27	68	0	974	10	2
97	25	21	64	0	972	10	2
98	19	21	90	0	968	10	2
99	20	26	79	333	432	10	2
100	18	18	74	798	965	10	2
							
