VEHICLE	DRONE						
NUMBER	NUMBER						
12	5						
							
CUSTOMER							
CUST NO.	XCOORD.	YCOORD.	DEMAND	READY TIME	DUE DATE	SERVICE   TIME	COST
							
0	35	35	0	0	230	0	0
1	41	49	20	73	204	5	0.38
2	35	17	34	18	147	5	0.57
3	55	45	16	76	165	5	0.36
4	55	20	38	73	195	5	0.38
5	15	30	16	20	167	5	0.57
6	25	30	14	49	158	5	0.57
7	20	50	33	36	135	5	0.38
8	10	43	12	50	149	5	0.57
9	55	60	25	47	156	5	0.57
10	30	60	19	85	172	5	0.36
11	20	65	11	33	152	5	0.38
12	50	35	30	15	133	5	0.57
13	30	25	32	79	208	5	0.38
14	15	10	21	32	187	5	0.57
15	30	5	21	30	152	5	0.36
16	10	20	37	29	139	5	0.57
17	5	30	20	60	189	5	0.36
18	20	40	28	47	136	5	0.38
19	15	60	32	32	146	5	0.57
20	45	65	31	79	182	5	0.57
21	45	20	13	18	136	5	0.38
22	45	10	33	50	153	5	0.57
23	55	5	34	36	155	5	0.38
24	65	35	31	58	190	5	0.57
25	65	20	23	56	186	5	0.36
26	45	30	29	87	186	5	0.38
27	35	40	24	5	140	5	0.57
28	41	37	24	6	136	5	0.57
29	64	42	24	29	150	5	0.36
30	40	60	19	25	132	5	0.38
31	31	52	25	17	138	5	0.57
32	35	69	10	67	186	5	0.38
33	53	52	39	24	161	5	0.57
34	65	55	26	70	173	5	0.36
35	63	65	28	54	178	5	0.38
36	2	60	33	41	178	5	0.57
37	20	20	21	87	190	5	0.57
38	5	5	13	42	153	5	0.36
39	60	12	27	33	186	5	0.38
40	40	25	21	40	139	5	0.57
41	42	7	27	43	160	5	0.38
42	24	12	14	25	158	5	0.57
43	23	3	27	82	185	5	0.36
44	11	14	33	31	144	5	0.57
45	6	38	26	29	169	5	0.38
46	2	48	31	63	180	5	0.57
47	8	56	10	34	176	5	0.36
48	13	52	12	65	192	5	0.57
49	6	68	25	73	152	5	0.38
50	47	47	36	75	182	5	0.57
51	49	58	10	36	149	10	2
52	27	43	9	11	133	10	2
53	37	31	14	51	148	10	2
54	57	29	18	90	197	10	2
55	63	23	2	69	189	10	2
56	53	12	6	76	190	10	2
57	32	12	7	48	163	10	2
58	36	26	18	84	210	10	2
59	21	24	28	17	183	10	2
60	17	34	3	70	201	10	2
61	12	24	13	29	132	10	2
62	24	58	19	25	154	10	2
63	27	69	10	34	172	10	2
64	15	77	9	46	165	10	2
65	62	77	20	49	170	10	2
66	49	73	25	68	179	10	2
67	67	5	25	43	156	10	2
68	56	39	36	80	198	10	2
69	37	47	6	12	137	10	2
70	37	56	5	48	198	10	2
71	57	68	15	39	148	10	2
72	47	16	25	22	170	10	2
73	44	17	9	30	135	10	2
74	46	13	98	74	195	10	2
75	49	11	52	27	141	10	2
76	49	42	74	27	128	10	2
77	53	43	81	72	200	10	2
78	61	52	54	42	159	10	2
79	57	48	54	47	146	10	2
80	56	37	53	73	198	10	2
81	55	54	82	57	140	10	2
82	15	47	71	23	146	10	2
83	14	37	76	21	157	10	2
84	11	31	57	57	154	10	2
85	16	22	60	44	147	10	2
86	4	18	64	49	148	10	2
87	28	18	77	61	134	10	2
88	26	52	88	21	136	10	2
89	26	35	91	68	211	10	2
90	31	67	62	46	153	10	2
91	15	19	77	70	194	10	2
92	22	22	56	18	159	10	2
93	18	24	66	60	199	10	2
94	26	27	64	58	151	10	2
95	25	24	95	14	143	10	2
96	22	27	63	89	190	10	2
97	25	21	70	92	183	10	2
98	19	21	56	21	142	10	2
99	20	26	84	33	142	10	2
100	18	18	72	51	195	10	2
