VEHICLE	DRONE						
NUMBER	NUMBER						
11	3						
							
CUSTOMER							
CUST NO.	XCOORD.	YCOORD.	DEMAND	READY TIME	DUE DATE	SERVICE   TIME	COST
							
0	40	50	0	0	1236	0	0
1	45	68	30	0	1127	45	0.38
2	45	70	36	0	1125	45	0.57
3	42	66	20	0	1129	45	0.36
4	42	68	13	727	782	45	0.38
5	42	65	28	0	1130	45	0.57
6	40	69	24	621	702	45	0.57
7	40	66	20	0	1130	45	0.38
8	38	68	19	255	324	45	0.57
9	38	70	14	534	605	45	0.57
10	35	66	20	357	410	45	0.36
11	35	69	13	448	505	45	0.38
12	25	85	31	0	1107	45	0.57
13	22	75	29	30	92	45	0.38
14	22	85	30	567	620	45	0.57
15	20	80	23	384	429	45	0.36
16	20	85	18	475	528	45	0.57
17	18	75	10	99	148	45	0.36
18	15	75	14	179	254	45	0.38
19	15	80	31	278	345	45	0.57
20	30	50	28	10	73	45	0.57
21	30	52	35	0	1135	45	0.38
22	28	52	15	812	883	45	0.57
23	28	55	31	732	777	45	0.38
24	25	50	12	65	144	45	0.57
25	25	52	17	169	224	45	0.36
26	25	55	27	0	1130	45	0.38
27	23	52	25	261	316	45	0.57
28	23	55	39	546	593	45	0.57
29	20	50	35	358	405	45	0.36
30	20	55	23	449	504	45	0.38
31	10	35	28	0	1112	45	0.57
32	10	40	28	31	100	45	0.38
33	8	40	34	87	158	45	0.57
34	8	45	26	0	1113	45	0.36
35	5	35	38	283	344	45	0.38
36	5	45	26	665	716	45	0.57
37	2	40	22	0	1106	45	0.57
38	0	40	13	479	522	45	0.36
39	0	45	20	567	624	45	0.38
40	35	30	33	264	321	45	0.57
41	35	32	24	166	235	45	0.38
42	33	32	24	68	149	45	0.57
43	33	35	10	16	80	45	0.36
44	32	30	27	359	412	45	0.57
45	30	30	24	541	600	45	0.38
46	30	32	28	448	509	45	0.57
47	30	35	21	1054	1127	45	0.36
48	28	30	36	0	1122	45	0.57
49	28	35	16	1001	1066	45	0.38
50	26	32	10	0	1123	45	0.57
51	25	30	10	725	786	90	2
52	25	35	10	0	1124	90	2
53	44	5	20	286	347	90	2
54	42	10	40	186	257	90	2
55	42	15	10	95	158	90	2
56	40	5	30	385	436	90	2
57	40	15	40	35	87	90	2
58	38	5	30	471	534	90	2
59	38	15	10	0	1110	90	2
60	35	5	20	562	629	90	2
61	50	30	10	531	610	90	2
62	50	35	20	262	317	90	2
63	50	40	50	171	218	90	2
64	48	30	10	632	693	90	2
65	48	40	10	76	129	90	2
66	47	35	10	826	875	90	2
67	47	40	10	12	77	90	2
68	45	30	10	734	777	90	2
69	45	35	10	916	969	90	2
70	95	30	30	387	456	90	2
71	95	35	20	293	360	90	2
72	53	30	10	0	1122	90	2
73	92	30	10	478	551	90	2
74	53	35	72	353	412	90	2
75	45	65	69	0	1130	90	2
76	90	35	60	203	260	90	2
77	88	30	60	574	643	90	2
78	88	35	86	109	170	90	2
79	87	30	66	668	731	90	2
80	85	25	83	769	820	90	2
81	85	35	55	47	124	90	2
82	75	55	56	0	1110	90	2
83	72	55	54	0	1113	90	2
84	70	58	60	458	523	90	2
85	68	60	72	0	1116	90	2
86	66	55	76	173	238	90	2
87	65	55	59	85	144	90	2
88	65	60	72	645	708	90	2
89	63	58	85	737	802	90	2
90	60	55	100	20	84	90	2
91	60	60	93	0	1123	90	2
92	67	85	58	368	441	90	2
93	65	85	66	475	518	90	2
94	65	82	70	0	1105	90	2
95	62	80	94	0	1108	90	2
96	60	80	93	0	1109	90	2
97	60	85	82	561	622	90	2
98	58	75	99	0	1115	90	2
99	55	80	79	743	820	90	2
100	55	85	52	647	726	90	2
