VEHICLE	DRONE						
NUMBER	NUMBER						
11	4						
							
CUSTOMER							
CUST NO.	XCOORD.	YCOORD.	DEMAND	READY TIME	DUE DATE	SERVICE   TIME	COST
							
0	40	50	0	0	960	0	0
1	25	85	18	431	911	5	0.38
2	22	75	36	30	510	5	0.57
3	22	85	23	291	771	5	0.36
4	20	80	21	674	734	5	0.38
5	20	85	28	40	520	5	0.57
6	18	75	28	393	502	5	0.57
7	15	75	16	120	600	5	0.38
8	15	80	17	397	457	5	0.57
9	10	35	20	401	461	5	0.57
10	10	40	27	535	622	5	0.36
11	8	40	20	225	285	5	0.38
12	8	45	19	43	523	5	0.57
13	5	35	39	683	743	5	0.38
14	5	45	20	35	366	5	0.57
15	2	40	39	204	264	5	0.36
16	0	40	27	204	425	5	0.57
17	0	45	18	698	827	5	0.36
18	44	5	14	306	483	5	0.38
19	42	10	29	199	428	5	0.57
20	42	15	25	494	699	5	0.57
21	40	5	18	45	525	5	0.38
22	40	15	31	383	486	5	0.57
23	38	5	28	231	291	5	0.38
24	38	15	24	609	872	5	0.57
25	35	5	37	821	881	5	0.36
26	95	30	32	349	829	5	0.38
27	95	35	37	138	273	5	0.57
28	92	30	19	78	339	5	0.57
29	90	35	37	132	375	5	0.36
30	88	30	23	252	359	5	0.38
31	88	35	23	50	530	5	0.57
32	87	30	21	562	799	5	0.38
33	85	25	31	71	208	5	0.57
34	85	35	32	307	787	5	0.36
35	67	85	24	655	778	5	0.38
36	65	85	32	43	186	5	0.57
37	65	82	13	377	857	5	0.57
38	62	80	35	308	368	5	0.36
39	60	80	22	46	201	5	0.38
40	60	85	30	339	438	5	0.57
41	58	75	36	377	494	5	0.38
42	55	80	18	33	166	5	0.57
43	55	85	25	531	736	5	0.36
44	55	82	30	247	307	5	0.57
45	20	82	29	37	177	5	0.38
46	18	80	28	432	665	5	0.57
47	2	45	25	38	322	5	0.36
48	42	5	36	424	904	5	0.57
49	42	12	19	460	539	5	0.38
50	72	35	32	327	807	5	0.57
51	55	20	19	273	498	10	2
52	25	30	3	25	505	10	2
53	20	50	5	405	465	10	2
54	55	60	16	554	767	10	2
55	30	60	16	629	689	10	2
56	50	35	19	560	673	10	2
57	30	25	23	342	571	10	2
58	15	10	20	842	902	10	2
59	10	20	19	42	522	10	2
60	15	60	17	623	884	10	2
61	45	65	9	214	421	10	2
62	65	35	3	197	257	10	2
63	65	20	6	39	316	10	2
64	45	30	17	191	310	10	2
65	35	40	16	11	140	10	2
66	41	37	16	570	681	10	2
67	64	42	9	298	358	10	2
68	40	60	21	613	730	10	2
69	31	52	27	187	247	10	2
70	35	69	23	780	930	10	2
71	65	55	14	191	410	10	2
72	63	65	8	27	507	10	2
73	2	60	5	240	451	10	2
74	20	20	89	675	735	10	2
75	5	5	67	57	537	10	2
76	60	12	78	298	358	10	2
77	23	3	58	794	854	10	2
78	8	56	72	366	483	10	2
79	6	68	85	382	442	10	2
80	47	47	55	817	942	10	2
81	49	58	76	332	497	10	2
82	27	43	97	14	494	10	2
83	37	31	69	19	499	10	2
84	57	29	73	425	485	10	2
85	63	23	85	164	644	10	2
86	21	24	84	310	507	10	2
87	12	24	54	389	449	10	2
88	24	58	63	262	377	10	2
89	67	5	58	611	897	10	2
90	37	47	86	311	526	10	2
91	49	42	85	457	937	10	2
92	53	43	79	14	74	10	2
93	61	52	64	789	928	10	2
94	57	48	95	212	692	10	2
95	56	37	51	20	500	10	2
96	55	54	91	382	862	10	2
97	4	18	52	516	697	10	2
98	26	52	53	14	494	10	2
99	26	35	91	338	398	10	2
100	31	67	76	870	930	10	2
